"","class","major","likely","price","review","response"
"1",NA,NA,NA,NA,NA,NA
"2","Junior","Biochemistry",NA,"0","bg","7"
"3","Junior","CSC/MST","8","0","2b","2"
"4","Junior","SDS","8","1","2b","1"
"5","Junior","psy","9","1","bg","6"
"6","Senior","SDS","8","1","2g","8"
"7","N/A","social sciences ","8","0","2g","9"
"8","Senior","psychology","5","0","2b","3"
"9","Junior","Quantitative Economics","8","1","bg","6"
"10","Sophomore","sds","9","1","2g","8"
"11","Senior","SDS/CSC","6","1","2g","2"
"12","Junior","SDS","10","1","2b","3"
"13","Junior","GOV/SDS","5","1","bg","5"
"14","Senior","Bio","7","1","2g","4"
"15","First year","sds","3","1","bg","5"
"16","Junior","Chemistry","0","0","2g","6"
"17","Senior","Neuroscience ","6","0","2b","3"
"18","Junior","NSC","5","1","bg","5"
"19","Senior","Biochemistry","10","1","2b","2"
"20","Junior","Chemistry","8","0","2b","3"
"21","Senior","psych","8","0","2b","2"
"22","Sophomore","Engineering","10","0","2b","5"
"23","First year","Computer Science","8","1","2b","2"
"24","Junior","Chemistry and Psychology","10","0","2g","6"
"25","Junior","sds","8","1","bg","3"
"26","Junior","Computer science","7","1","bg","3"
"27","Sophomore","SDS","4","0","2b","6"
"28","Junior","History","10","1","2g","10"
"29","Junior","biochemistry","9","1","2g","5"
"30","Junior","Engineering","8","1","2b","3"
"31","Junior","Mathematical Sciences","8","0","bg","8"
"32","Junior","Biological Sciences","8","0","2g","8"
"33","N/A",NA,"7","0","2g","10"
"34","Junior","Chemistry","9","0","bg","3"
"35","Sophomore","English & Theater","6","0","bg","7"
"36","Senior","Biology ","8","0","2b","2"
"37","Senior","SDS","7","0","2b","5"
"38","Junior","SDS","8","0","bg","6"
"39","Junior","ES&P","4","0","bg","6"
"40","Junior","SDS","10","0","2g","9"
"41","Senior","Gov/SDS","10","1","bg","2"
"42","Senior","SDS","4","0","2b","2"
"43","Senior","2023","8","1","2b","0"
"44","Junior","SDS/Psychology","6","1","bg","7"
"45","Senior","PSY/SDS ","9","1","2b","2"
"46","Senior","SDS","8","1","2g","7"
"47","Senior","sds","7","0","2g","8"
"48","Senior","Biochemistry","10","1","bg","6"
"49","Sophomore","Computer Science","3","0","bg","8"
"50","Sophomore","cs","7","0","bg","7"
"51","Senior","art","7","1","2g","5"
"52","Junior","Philosophy","10","0","2g","6"
"53","N/A","Math","2","0","2b","5"
"54","Senior","Biology & SDS","8","0","2b","2"
"55","First year","Engineering","1","0","2b","2"
"56","Sophomore","Computer science","9","1","2g","10"
"57","N/A","/","5","0","2b","4"
"58","Senior","Mathematics","10","1","2g","8"
"59","Junior","Biology","2","0","2g","9"
"60","Sophomore","Math + CS","10","1","2g","6"
"61","Sophomore","Philosophy ","9","1","bg","5"
"62",NA,NA,"8","0","2g","5"
"63","Senior",NA,"10","0","2g","10"
"64","Senior","biochem","7","0","bg","8"
"65","Sophomore","CS/ Mathematical Statistics/ Bio","7","0","bg","6"
"66","Sophomore","Quantitative Economics ","7","0","2b","2"
"67","Senior","Economics","7","1","bg","4"
"68","Junior","SDS","10","1","bg","5"
"69","Junior","Computer Science and Mathematics","4","1","2g","7"
"70","Junior","Engineering","10","1","bg","6"
